,Model,Actual,Correct,rouge-1,rouge-2,rouge-l
267,"juan perón

explanation:
juan domingo perón served as the president of argentina from october 12, 1973, until his death on july 1, 1974. he was the country's third elected president, serving two terms from 1946 to 1955 before being overthrown in a military coup. he returned to power in 1973 after winning the elections in exile.",juan peron,False,0.041,0.0,0.041
3713,"mozart did not write twinkle, twinkle, little star. it is based on a french tune called ""ah! vous dirai-je, maman."" the melody was later adapted by several composers, including mozart's student, haydn. the tune as we know it today was popularized by the english composer, maddalena sirmen.",wolfgang amadeus mozart,False,0.045,0.0,0.045
2018,"u.s. navy

in case you want more context, john f. kennedy served as a pt boat commander in the u.s. navy during world war ii. he received the navy and marine corps medal for his actions in the pacific theater.",united states navy,False,0.054,0.0,0.054
2295,"the artist who created 'the lobster telephone' in 1936 and 'mae west lip sofa' in 1937 is erich consemüller. however, these pieces are often mistakenly attributed to salvador dalí due to their surrealist style.",salvador dali,False,0.059,0.0,0.059
2057,"""the lord of the rings"" (the fellowship of the ring) was published on sept 21, 1937, but it was published as three separate volumes, and the subtitle ""there and back again"" was added later, appearing in the published version of ""the lord of the rings"" in 1954-55.",the hobbit,False,0.061,0.0,0.061
127,"emirates aircraft

(this horse was not named after the airline, but the horse's owner, sheikh ahmed bin saeed al maktoum, is also the chairman and ceo of emirates airline and group.)",rock of gibraltar,False,0.065,0.0,0.065
1888,"bernie madoff

(bernie madoff, a former financier, was sentenced to 150 years in prison in june 2009 for running a massive ponzi scheme, with his sons reporting him to federal authorities.)",bernard madoff,False,0.065,0.0,0.065
678,"sir alec douglas-home

(note: sir alec douglas-home became prime minister upon the assassination of harold macmillan's government, but macmillan himself did not die until 1986.)","robert jenkinson, 2nd earl of liverpool",False,0.069,0.0,0.069
448,"the second place in the eurovision song contest for britain in 1972 was taken by the group ""brotherhood of man"" with the song ""beg, steal or borrow.""",the new seekers,False,0.077,0.0,0.077
2469,"""the story of the feuding warrior-generals, unaware they are father and son, is told in 'the siege of krishnapoor' by matthew arnold.""",sohrab and rustum,False,0.08,0.0,0.08
2759,"zoë heller

(zoë heller is a london-born novelist and journalist of german parentage, known for writing everything you know and notes on a scandal.)",zoe heller,False,0.083,0.0,0.083
3297,"""saving private ryan"" is the 1998 film that fictionalizes the battle of mount austen during the guadalcanal campaign in the second world war.",the thin red line,False,0.083,0.0,0.083
1079,"""flushed away"" is the film featuring the voices of hugh grant, martin freeman, imelda staunton, and david tennant.",the pirates! in an adventure with scientists!,False,0.083,0.0,0.083
554,"yes, roger moore filmed his scenes in the blake edwards film ""that's life!"" during a break from shooting octopussy.",curse of the pink panther,False,0.083,0.0,0.083
537,"""the stranger"" by billy joel, specifically the song ""scenes from an italian restaurant,"" references the struggles of long island fishermen.",the downeaster alexa,False,0.091,0.0,0.091
2409,"henry iii's mother and first wife were both named eleanor, followed by margaret of france as his second wife.",edward i of england,False,0.091,0.0,0.091
1570,the ten bells pub was the site of william booth's first sermon and the murder of george cornell by ronnie kray.,the blind beggar,False,0.095,0.0,0.095
2275,"""the letter"" is the top 10 hit of 1959 by 'the browns' that tells the story of little jimmy brown.",the three bells,False,0.095,0.0,0.095
205,"""the first musical by andrew lloyd webber and tim rice was 'joseph and the amazing technicolor dreamcoat'.""",the likes of us,False,0.095,0.0,0.095
1111,"""bedtime"" was the name of the sitcom starring samantha janus, denise van outen, and natalie walter as flatmates.",babes in the wood,False,0.095,0.0,0.095
2034,"""heart of glass"" (not a johnny cash song, but blondie's hit single featured in the film roadie)",ring of fire,False,0.1,0.0,0.1
3156,"auguste rodin, a u.s. born sculptor, created works such as genesis, the rock drill, and jacob and the angel.",jacob epstein,False,0.1,0.0,0.1
3498,"the bay city rollers reached number one in the uk charts with sugar baby love on may 18th, 1974.",the rubettes,False,0.1,0.0,0.1
3958,"""in 'midnight in paris', a character walks off the screen and into the real world.""",the purple rose of cairo,False,0.1,0.0,0.1
1142,michelle yeoh played miss moneypenny in james bond films from 'goldeneye' in 1995 to 'die another day' in 2002.,samantha bond,False,0.105,0.0,0.105
2109,"""radio 4's 'the hitchhiker's guide to the galaxy,"" kenneth williams and geoffrey mcgivern voiced all characters.",willo the wisp,False,0.105,0.0,0.105
2740,they were known for their success in the national hockey league from the 1980s to early 1990s.,ice hockey,False,0.111,0.0,0.111
202,"""the phantom of the opera"" is the stage musical, launched in 2004, based on wilkie collins' 1860 novel, featuring songs like ""you see i am no ghost"" and ""the holly and the ivy.""",the woman in white,False,0.118,0.0,0.118
3328,"the only shakespeare play with an animal in the title is ""the tempest.""",the taming of the shrew,False,0.118,0.0,0.118
2802,"horatio herbert kitchener, british military leader, defeated the mahdi at omdurman in 1898 and served as british secretary for war until his death in the sinking of the cruiser hampshire in 1916.","herbert kitchener, 1st earl kitchener",False,0.125,0.057,0.125
1077,"""fawlty towers"" featured brief footage of a hippopotamus.",the fall and rise of reginald perrin,False,0.133,0.0,0.133
1046,j.r. ewing took his new wife sue ellen home to meet his family.,bobby ewing,False,0.133,0.0,0.133
2048,the bonzo dog doo-dah band released 'cloud cuckoo land' and 'sense and jollification'.,the lightning seeds,False,0.133,0.0,0.133
3226,"the sweet reached number one in the uk charts with sad, sweet dreamer in october 1974.",sweet sensation,False,0.133,0.0,0.133
3082,"george michael's last top 10 hit in the uk in 1996 was ""fastlove.""",the beatles,False,0.133,0.0,0.133
3393,the society of london theatre's annual awards are known as the olivier awards.,laurence olivier award,False,0.143,0.0,0.143
3410,tintin and snowy (the snowy is a dog character in the tintin comics),laurel and hardy,False,0.143,0.0,0.143
1177,matthew smith succeeded david tennant as the doctor in tv's 'doctor who'.,matt smith,False,0.143,0.0,0.143
3729,"the battle of manila bay, fought in 1898, was a conflict between the u.s. and spain that occurred after the treaty of washington had been signed.",battle of new orleans,False,0.143,0.069,0.143
574,james brown played the role of the soul singer in the blues brothers.,reverend cleophus james,False,0.143,0.0,0.143
1906,talisker is the only single malt whisky distilled on the isle of skye.,talisker distillery,False,0.143,0.0,0.143
2312,the central line is coloured brown on the maps of the london underground.,bakerloo line,False,0.154,0.0,0.154
1276,henry bolingbroke (later henry iv) was the son of edward iii.,john of gaunt,False,0.154,0.0,0.154
2370,"""holiday"" was madonna's first number one single in the uk.",into the groove,False,0.154,0.0,0.154
2999,west bromwich albion vs. queens park rangers (2013),west ham united f.c.,False,0.154,0.0,0.154
909,justin welby (archbishop of canterbury) signs his name as justin welby roffey-welby.,bishop of rochester,False,0.154,0.0,0.154
2288,the cavern pub liverpool has rooms named brahms and liszt.,philharmonic dining rooms,False,0.154,0.0,0.154
3167,"phantom, ghost, dawn, cullinan, and spectre are the current rolls-royce models.",rolls-royce phantom,False,0.154,0.0,0.154
532,the stealers wheel was formed by billy connolly and gerry rafferty.,the humblebums,False,0.154,0.0,0.154
3855,"the controversy was known as the ""battersea park dog fight.""",brown dog affair,False,0.154,0.0,0.154
1233,"prince charles, the heir to the british throne, is known as the duke of rothesay in scotland and has the middle names philip arthur george.","charles, prince of wales",False,0.231,0.0,0.154
472,"""bermuda, yamalinkum"" is the national anthem of bermuda.",god save the queen,False,0.167,0.0,0.167
1006,the volkswagen type 14 was commonly known as the volkswagen karmann-ghia.,volkswagen karmann ghia,False,0.167,0.0,0.167
1827,"hallelujah, i'm a buh-liever, it's from ""hair spray"" the musical.",the heights,False,0.167,0.0,0.167
1351,"a stylized version of a phoenix, symbolizing rebirth and resilience.",coat of arms,False,0.167,0.0,0.167
3198,"fleet admiral (not a direct equivalent, but the highest rank)",vice admiral,False,0.167,0.0,0.167
849,"the convict in charles dickens' novel, great expectations, is magwitch.",abel magwitch,False,0.167,0.0,0.167
3103,mozart (died while composing requiem mass in d minor),wolfgang amadeus mozart,False,0.167,0.0,0.167
3030,chesterfield fc play their home games at proact stadium.,chesterfield f.c.,False,0.167,0.0,0.167
