,ID,compositionality_type,question,answers,topic_ids,answer_ids
894,WebQTest-1311_e920e31a99d6b7dfbeef110668d3103d,comparative,What inspiration of Antoni Gaudi died later than 17 September 1879?,"[{'aliases': ['W. Morris'], 'answer': 'William Morris', 'answer_id': 'm.08304'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/08304']
1329,WebQTest-1382_b9b879060be6df6cb7cd937a7996f9d9,comparative,"What country borders Argentina and has an army greater than 319,000?","[{'aliases': ['Brazilian ', 'República Federativa do Brasil', 'Brasil', 'Federative Republic of Brazil'], 'answer': 'Brazil', 'answer_id': 'm.015fr'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0k20s', '/m/0g84t93', '/m/0g84t93']",['/m/015fr']
1235,WebQTest-1382_edc19b9010b39a6a7a1e3926399c8522,comparative,What country bordering Argentina has population less than 188134315?,"[{'aliases': ['Republic of Chile'], 'answer': 'Brazil', 'answer_id': 'm.01p1v'}, {'aliases': ['The Plurinational State of Bolivia'], 'answer': 'Paraguay', 'answer_id': 'm.0165v'}, {'aliases': ['Corazon de America', 'Heart of America', 'Republic of Paraguay', 'Corazón de América'], 'answer': 'Bolivia', 'answer_id': 'm.05v10'}, {'aliases': ['Brazilian ', 'República Federativa do Brasil', 'Brasil', 'Federative Republic of Brazil'], 'answer': 'Chile', 'answer_id': 'm.015fr'}, {'aliases': ['Eastern Republic of the Uruguay', 'Republic East of the Uruguay', 'Eastern Republic of Uruguay', 'Oriental Republic of Uruguay'], 'answer': 'Uruguay', 'answer_id': 'm.07twz'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/01p1v', '/m/0165v', '/m/05v10', '/m/015fr', '/m/07twz']"
1778,WebQTrn-3252_34f533dd75026e91fc9acd350e6eeffb,comparative,What countries in which the Niger River flows have an ISO numeric of the country less than 324?,"[{'aliases': [], 'answer': 'Benin', 'answer_id': 'm.0164v'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0164v']
1471,WebQTrn-2177_dec2523c78124e170c353878876cff1e,comparative,"Where did Caroline Kennedy attend university, and the founding date is before 1879?","[{'aliases': ['Harvard University, main campus', 'Harvard', 'Harvard University, Cambridge'], 'answer': 'Harvard College', 'answer_id': 'm.03ksy'}, {'aliases': ['Columbia Law', 'Harvard College, main campus', 'Harvard College, Cambridge'], 'answer': 'Columbia Law School', 'answer_id': 'm.01mpwj'}, {'aliases': ['Columbia Law School, main campus', 'Harvard'], 'answer': 'Harvard University', 'answer_id': 'm.01n951'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/03ksy', '/m/01mpwj', '/m/01n951']"
2151,WebQTrn-1657_9d37074bcf7d095ff898b88a986559e8,comparative,Which Miley Cyrus movies were released after 12/10/2003?,"[{'aliases': [], 'answer': 'Hannah Montana: The Movie', 'answer_id': 'm.0w1x037'}, {'aliases': [], 'answer': 'Super Rhino', 'answer_id': 'm.0swngjg'}, {'aliases': ['Wizards on Deck With Hannah Montana - Cast-Away To Another Show'], 'answer': 'Rock Mafia Presents: The Big Bang', 'answer_id': 'm.064qvcw'}, {'aliases': ['Lola', 'LOL: Laughing Out Loud', 'LOL', 'LOL - Pazza del mio migliore amico', 'Summer. Classmates. Love', 'L.O.L.'], 'answer': 'The Last Song', 'answer_id': 'm.0cmddrx'}, {'aliases': [], 'answer': 'LOL', 'answer_id': 'm.010ls0tb'}, {'aliases': [], 'answer': 'Wizards on Deck with Hannah Montana', 'answer_id': 'm.03ck042'}, {'aliases': [], 'answer': 'Family Bond', 'answer_id': 'm.0cs2t3x'}, {'aliases': ['High School Musical 2: Sing It All Or Nothing!'], 'answer': 'Sex and the City 2', 'answer_id': 'm.0bc5ny'}, {'aliases': ['Bolt - Un perro fuera de serie 3D', 'Munja', 'American Dog', 'Piorun', 'Bolt - Ein Hund für alle Fälle', 'Grom', 'Blesk', 'Bolt - Un eroe a quattro zampe', 'Bolt - Pes pro kazdý prípad', 'Bolt - Supercão', 'Volt, star malgré lui', 'Volt', 'Boruto', 'Вольт', 'Välk', 'Гръм', 'Bolt - Un perro fuera de serie'], 'answer': 'Bolt', 'answer_id': 'm.06fcqw'}, {'aliases': [], 'answer': 'Hannah Montana and Miley Cyrus: Best of Both Worlds Concert', 'answer_id': 'm.0g56xqy'}, {'aliases': ['El último beso', 'Son sarki', 'La dernière chanson', 'La ultima canción', 'Mit Dir an meiner Seite', 'To teleftaio tragoudi', 'A Melodia do Adeus', 'Viimane laul', 'The Last Song: Ostatnia piosenka', 'A Última Música', 'Az utolsó dal', 'La última canción', 'Untitled Miley Cyrus ProjectViimane laul'], 'answer': 'The World According to Miley Cyrus', 'answer_id': 'm.07ykkx5'}, {'aliases': [], 'answer': 'So Undercover', 'answer_id': 'm.0crsmk2'}, {'aliases': [], 'answer': 'Radio Disney Party Jams: The Concert', 'answer_id': 'm.080gfc8'}, {'aliases': ['Sex And The City 2'], 'answer': 'Miley Cyrus: Tongue Tied', 'answer_id': 'm.05h43ls'}, {'aliases': ['Hana Montana: filmas', 'Hannah Montana - The Movie', 'Hannah Montana - La película', 'Hanna Montana - La película', 'Hannah Montana: I tainia', 'Hannah Montana - Der Film', 'Hannah Montana: A film', 'Hannah Montana', 'Hannah Montana - filmen', 'Hannah Montana - Le film', 'Hannah Montana film', 'Hanna Montana - Bíómyndin', 'Hannah Montana - O Filme'], 'answer': 'High School Musical 2', 'answer_id': 'm.02x3lt7'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/0w1x037', '/m/0swngjg', '/m/064qvcw', '/m/0cmddrx', '/m/010ls0tb', '/m/03ck042', '/m/0cs2t3x', '/m/0bc5ny', '/m/06fcqw', '/m/0g56xqy', '/m/07ykkx5', '/m/0crsmk2', '/m/080gfc8', '/m/05h43ls', '/m/02x3lt7']"
1538,WebQTest-577_97c3c35fff54b3acb84147e3e8911f27,comparative,Which college Derek Fisher attended is a university with more than 3904 postgraduates enrolled?,"[{'aliases': ['University of Arkansas, main campus', 'University of Arkansas, Fayetteville', 'U of A'], 'answer': 'University of Arkansas', 'answer_id': 'm.01rc6f'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/01rc6f']
3406,WebQTrn-3529_caf2551b239a02b8659396e00eba0711,comparative,"What movies are Liam Hemsworth in that were released after July 7th, 2009?","[{'aliases': [], 'answer': 'The Hunger Games: Mockingjay, Part 1', 'answer_id': 'm.0gkz15s'}, {'aliases': ['The Expendables II'], 'answer': 'The Hunger Games: Mockingjay, Part 2', 'answer_id': 'm.0gffmn8'}, {'aliases': ['The Hunger Games: Mockingjay – Part 1'], 'answer': 'Triangle', 'answer_id': 'm.0ngvsvk'}, {'aliases': ['The Hunger Games: Mockingjay – Part 2'], 'answer': 'The Hunger Games', 'answer_id': 'm.0ngvtb_'}, {'aliases': ['Ghost Ship'], 'answer': 'The Expendables 2', 'answer_id': 'm.06_vszc'}, {'aliases': [], 'answer': 'Empire State', 'answer_id': 'm.0lcw1gn'}, {'aliases': [], 'answer': 'Paranoia', 'answer_id': 'm.0wk4knj'}, {'aliases': ['El último beso', 'Son sarki', 'La dernière chanson', 'La ultima canción', 'Mit Dir an meiner Seite', 'To teleftaio tragoudi', 'A Melodia do Adeus', 'Viimane laul', 'The Last Song: Ostatnia piosenka', 'A Última Música', 'Az utolsó dal', 'La última canción', 'Untitled Miley Cyrus ProjectViimane laul'], 'answer': 'Cut Bank', 'answer_id': 'm.07ykkx5'}, {'aliases': ['AWOL'], 'answer': 'The Hunger Games: Catching Fire', 'answer_id': 'm.0gxtt2w'}, {'aliases': [], 'answer': 'The Last Song', 'answer_id': 'm.0k9390g'}, {'aliases': ['Catching Fire', 'The Hunger Games 2'], 'answer': 'Love and Honor', 'answer_id': 'm.0n40qmp'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0gkz15s', '/m/0gffmn8', '/m/0ngvsvk', '/m/0ngvtb_', '/m/06_vszc', '/m/0lcw1gn', '/m/0wk4knj', '/m/07ykkx5', '/m/0gxtt2w', '/m/0k9390g', '/m/0n40qmp']"
3332,WebQTrn-538_d2cff41477232a4029876a5d631191a8,comparative,What country with an ISO less that 233 borders Russia?,"[{'aliases': ['Republic of Azerbaijan', 'Azərbaycan Respublikası'], 'answer': 'Belarus', 'answer_id': 'm.0jhd'}, {'aliases': ['Republic of Belarus', 'Respublika Belarus’', 'Bellarussiya', 'Bielaruś'], 'answer': 'China', 'answer_id': 'm.0163v'}, {'aliases': [""People's Republic of China""], 'answer': 'Azerbaijan', 'answer_id': 'm.0d05w3'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/0jhd', '/m/0163v', '/m/0d05w3']"
656,WebQTrn-2674_9823e8cbdb9cc73054cef8a7305b1e78,comparative,What state that's symbol was adapted after 1939 is where USC is?,"[{'aliases': ['SC', 'Palmetto State'], 'answer': 'South Carolina', 'answer_id': 'm.06yxd'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/06yxd']
