,Model
894,"Park Güell, Sagrada Família, Casa Batlló, Casa Milà"
1329,"Brazil, Chile"
1235,"Bolivia, Paraguay, Uruguay, Chile"
1778,"Mali, Guinea, Nigeria"
1471,Radcliffe College (1879) and Yale University (1701)
2151,"""The Last Song (2010), LOL (2012), So Undercover (2012), and Plain Jane (2014)"""
1538,"Georgia Tech, Duke University"
3406,"""Extraction (2020), Isn't It Romantic (2019), Killerman (2019), The Dressmaker (2015), Paranoia (2013), Empire State (2013), The Hunger Games: Catching Fire (2013), The Hunger Games: Mockingjay - Part 1 (2014), The Hunger Games: Mockingjay - Part 2 (2015)"""
3332,"Finland, Estonia, Latvia, Lithuania, Belarus, Poland, Ukraine, Kazakhstan, Mongolia"
656,California
1141,"University of Giessen, Leipzig University, University of Würzburg"
2745,"""Pretty Little Liars (TV series), Secret Circle, A Cinderella Story: Once Upon a Song, Road to Paloma"""
1349,"Austria, Switzerland"
2352,"Allianz Stadium, Qudos Bank Arena, ANZ Stadium"
902,"Nigeria (206), Mali (223), Guinea (224), Cote d'Ivoire (384)"
1779,"Corinth, Mississippi"
791,"Estonia, Finland, Latvia, Lithuania, Norway, Poland, Ukraine."
2679,Los Angeles (84006)
796,Miami Hurricanes
3234,"Austria, Liechtenstein, Switzerland"
1382,"Brazil, Peru, Chile, Argentina"
1812,"Bolivia (591), Paraguay (595), Brazil (55)"
175,"Abraham Lincoln, President of the United States"
1084,Edmonton Eskimos (CFL)
1191,"Iowa State University, Tuskegee University"
1695,Missouri
839,"Harry Potter and the Deathly Hallows: Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"Hannah Montana: The Movie, The Last Song, LOL (Laugh Out Loud)"
1359,"Walt Whitman, Henry David Thoreau, and Edgar Allan Poe (all died after October 7, 1849, but Thoreau and Poe did not significantly influence Whitman's poetry)"
2990,"Estonia, Latvia, Lithuania, Finland, Norway, Poland, Belarus, Ukraine, Kazakhstan, Mongolia, China, Azerbaijan, Georgia, Turkey, and Japan."
2113,"Museo del Prado, Reina Sofia Museum, Thyssen-Bornemisza Museum"
1754,"Harry Potter and the Sorcerer's Stone (60003778), Harry Potter and the Chamber of Secrets (60003779)"
1668,"Cairo, Egypt"
856,"Bob Marley, Jean-Michel Basquiat"
3152,"Santa Fe, New Mexico"
961,"Hibbing, Minnesota"
1291,Nigeria
